question,type,lemma,basiswoord1,basiswoord2
,userdetails,,,
"Uit welke twee woorden is het volgende woord opgebouwd?",task,adware,advertising,software
"Uit welke twee woorden is het volgende woord opgebouwd?",task,agflatie,agricultuur,inflatie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,mup,millenial,yup
"Uit welke twee woorden is het volgende woord opgebouwd?",task,tankini,tanktop,bikini
"Uit welke twee woorden is het volgende woord opgebouwd?",task,vagetariër,vaag,vegetariër
"Uit welke twee woorden is het volgende woord opgebouwd?",task,labradoedel,labrador,poedel
"Uit welke twee woorden is het volgende woord opgebouwd?",task,straatsen,straat,schaatsen
"Uit welke twee woorden is het volgende woord opgebouwd?",task,grachtengordeldier,grachtengordel,gordeldier
"Uit welke twee woorden is het volgende woord opgebouwd?",task,preferendum,prefereren,referendum
"Uit welke twee woorden is het volgende woord opgebouwd?",task,zebradrempel,zebrapad,verkeersdrempel
